"","Name","Position","Number","Speech","Day","Time","Title","Link","X","Category","EndTime","X.1","X.2","Rep","Dem","SenateRep","HORRep","Unemployment","FedFunds","Number.1","ChangeVix","ChangeSP"
"1","Bernanke","Fed Chairman","1,2",0.18627,"X12.16.13","2:00","Concluding Remarks","http://www.federalreserve.gov/newsevents/speech/bernanke20131216b.pdf","","","",NA,NA,0,0,0.45,0.537931034,6.7,0.09,"1,2",0.000728193408169184,0.000728193408169184
"2","Bernanke","Fed Chairman","1,2",0.18627,"X12.17.13","2:00","Opening Remarks","http://www.federalreserve.gov/newsevents/speech/bernanke20131216b.pdf","","","",NA,NA,0,0,0.45,0.537931034,6.7,0.09,"1,2",-5.61450788837848e-05,-5.61450788837848e-05
"3","Daniel Tarullo","","3",0.07687,"X11.22.13","12:15","Shadow Banking and Systemic Risk Regulation ","http://www.federalreserve.gov/newsevents/speech/tarullo20131122a.pdf","","","",NA,NA,0,0,0.45,0.537931034,7,0.09,"3",0.00164280164280166,0.00164280164280166
"4","Bernanke","Fed Chairman","4",0.08636,"X11.14.13","9:30","Brief Remarks","http://www.federalreserve.gov/newsevents/speech/bernanke20131114a.pdf","","","",NA,NA,0,0,0.45,0.537931034,7,0.09,"4",-0.0284810126582279,0.000570096748771767
"5","Bernanke","Fed Chairman","5",0.069087,"X11.8.13","3:30","The Crisis as a Classic Financial Panic","http://www.federalreserve.gov/newsevents/speech/bernanke20131108a.pdf","","","",NA,NA,0,0,0.45,0.537931034,7,0.08,"5",0.00465842033590547,0.00465842033590547
"6","Bernanke","Fed Chairman","6",0.212606,"X10.2.13","3:30","Brief Welcoming Remarks","http://www.federalreserve.gov/newsevents/speech/bernanke20131002a.pdf","","","",NA,NA,0,0,0.45,0.537931034,7.2,0.07,"6",0.00204684070728392,0.00204684070728392
"7","Bernanke","Fed Chairman","7",0.149648,"X6.2.13","2:00","Ten Suggestions","http://www.federalreserve.gov/newsevents/speech/bernanke20130602a.pdf","","","",NA,NA,0,0,0.45,0.537931034,7.3,0.1,"7",NA,NA
"8","Bernanke","Fed Chairman","8",0.101239,"X5.10.13","9:30","Monitoring the Financial System","http://www.federalreserve.gov/newsevents/speech/bernanke20130510a.pdf","","","",NA,NA,0,0,0.45,0.537931034,7.5,0.12,"8",-0.0106788710907703,0.000190305470975313
"9","Bernanke","Fed Chairman","9",0.13754,"X4.12.13","12:30","Creating Resilient Communities","http://www.federalreserve.gov/newsevents/speech/bernanke20130412a.pdf","","","",NA,NA,0,0,0.45,0.537931034,7.5,0.15,"9",0.00100172624522757,0.00100172624522757
"10","Bernanke","Fed Chairman","10",0.260965,"X4.4.13","10:30","Financial and Economic Education","http://www.federalreserve.gov/newsevents/speech/bernanke20130404a.pdf","","","",NA,NA,0,0,0.45,0.537931034,7.5,0.14,"10",-0.0379146919431279,0.00158865941586217
"11","Bernanke","Fed Chairman","11",0.04416666,"X3.25.13","1:15","Monetary Policy and the Global Economy","http://www.federalreserve.gov/newsevents/speech/bernanke20130325a.pdf","","","",NA,NA,0,0,0.45,0.537931034,7.5,0.15,"11",0.00340138253913853,0.00340138253913853
"12","Bernanke","Fed Chairman","12",0.070847,"X11.20.12","12:15","Economic Recovery and Economic Policy","http://www.federalreserve.gov/newsevents/speech/bernanke20121120a.pdf","","","",NA,NA,0,0,0.47,0.556321839,7.8,0.16,"12",0.00545537531967918,0.00545537531967918
