Name,Position,Number,Speech,Day,Time,Title,Link,,Category,EndTime,,,Rep,Dem,SenateRep,HORRep,Unemployment,FedFunds,Number
Bernanke,Fed Chairman,"1,2",0.18627,12/16/13,2:00,Concluding Remarks,http://www.federalreserve.gov/newsevents/speech/bernanke20131216b.pdf,,,,,,0,0,0.45,0.537931034,6.7,0.09,"1,2"
Bernanke,Fed Chairman,"1,2",0.18627,12/17/13,2:00,Opening Remarks,http://www.federalreserve.gov/newsevents/speech/bernanke20131216b.pdf,,,,,,0,0,0.45,0.537931034,6.7,0.09,"1,2"
Daniel Tarullo,,3,0.07687,11/22/13,12:15,Shadow Banking and Systemic Risk Regulation ,http://www.federalreserve.gov/newsevents/speech/tarullo20131122a.pdf,,,,,,0,0,0.45,0.537931034,7.0,0.09,3
Bernanke,Fed Chairman,4,0.08636,11/14/13,9:30,Brief Remarks,http://www.federalreserve.gov/newsevents/speech/bernanke20131114a.pdf,,,,,,0,0,0.45,0.537931034,7.0,0.09,4
Bernanke,Fed Chairman,5,0.069087,11/8/13,3:30,The Crisis as a Classic Financial Panic,http://www.federalreserve.gov/newsevents/speech/bernanke20131108a.pdf,,,,,,0,0,0.45,0.537931034,7.0,0.08,5
Bernanke,Fed Chairman,6,0.212606,10/2/13,3:30,Brief Welcoming Remarks,http://www.federalreserve.gov/newsevents/speech/bernanke20131002a.pdf,,,,,,0,0,0.45,0.537931034,7.2,0.07,6
Bernanke,Fed Chairman,7,0.149648,6/2/13,2:00,Ten Suggestions,http://www.federalreserve.gov/newsevents/speech/bernanke20130602a.pdf,,,,,,0,0,0.45,0.537931034,7.3,0.1,7
Bernanke,Fed Chairman,8,0.101239,5/10/13,9:30,Monitoring the Financial System,http://www.federalreserve.gov/newsevents/speech/bernanke20130510a.pdf,,,,,,0,0,0.45,0.537931034,7.5,0.12,8
Bernanke,Fed Chairman,9,0.13754,4/12/13,12:30,Creating Resilient Communities,http://www.federalreserve.gov/newsevents/speech/bernanke20130412a.pdf,,,,,,0,0,0.45,0.537931034,7.5,0.15,9
Bernanke,Fed Chairman,10,0.260965,4/4/13,10:30,Financial and Economic Education,http://www.federalreserve.gov/newsevents/speech/bernanke20130404a.pdf,,,,,,0,0,0.45,0.537931034,7.5,0.14,10
Bernanke,Fed Chairman,11,0.04416666,3/25/13,1:15,Monetary Policy and the Global Economy,http://www.federalreserve.gov/newsevents/speech/bernanke20130325a.pdf,,,,,,0,0,0.45,0.537931034,7.5,0.15,11
Bernanke,Fed Chairman,12,0.070847,11/20/12,12:15,Economic Recovery and Economic Policy,http://www.federalreserve.gov/newsevents/speech/bernanke20121120a.pdf,,,,,,0,0,0.47,0.556321839,7.8,0.16,12
Bernanke,Fed Chairman,13,0.0855263,11/15/12,1:20,Challenges in Housing and Mortgage Markets,http://www.federalreserve.gov/newsevents/speech/bernanke20121115a.pdf,,,,,,0,0,0.47,0.556321839,7.8,0.16,13
Bernanke,Fed Chairman,14,0.12969,10/1/12,12:30,Five Questions about Federal Reserve and Monetary Policy,http://www.federalreserve.gov/newsevents/speech/bernanke20121001a.pdf,,,,,,0,0,0.47,0.556321839,7.8,0.15,14
Bernanke,Fed Chairman,15,0.0800344,8/31/12,10:00,Monetary Policy since Onset of the Crisis,http://www.federalreserve.gov/newsevents/speech/bernanke20120831a.pdf,,,,,,0,0,0.47,0.556321839,8.1,0.13,15
Bernanke,Fed Chairman,16,0.294407,8/7/12,2:30,Financial Education,http://www.federalreserve.gov/newsevents/speech/bernanke20120807a.pdf,,,,,,0,0,0.47,0.556321839,8.1,0.13,16
Bernanke,Fed Chairman,17,0.218575,8/6/12,9:00,Economic Measurement,http://www.federalreserve.gov/newsevents/speech/bernanke20120806a.pdf,,,,,,0,0,0.47,0.556321839,8.1,0.14,17
Bernanke,Fed Chairman,18,0.117434,5/10/12,9:30,Banks and Bank Lending: The State of Play,http://www.federalreserve.gov/newsevents/speech/bernanke20120510a.pdf,,,,,,0,0,0.47,0.556321839,8.2,0.15,18
Bernanke,Fed Chairman,19,0.027776,4/13/12,1:00,Some Reflections on the Crisis and the Policy Response ,http://www.federalreserve.gov/newsevents/speech/bernanke20120413a.pdf,,,,,,0,0,0.47,0.556321839,8.2,0.15,19
Bernanke,Fed Chairman,20,-0.02506,3/26/12,8:00,Recent Developments in the Labor Market,http://www.federalreserve.gov/newsevents/speech/bernanke20120326a.pdf,,,,,,0,0,0.47,0.556321839,8.2,0.14,20
Bernanke,Fed Chairman,21,0.18566,3/14/12,10:00,Community Banking,http://www.federalreserve.gov/newsevents/speech/bernanke20120314a.pdf,,,,,,0,0,0.47,0.556321839,8.2,0.13,21
Bernanke,Fed Chairman,22,0.067865,2/10/12,12:30,Housing Markets in Transition,http://www.federalreserve.gov/newsevents/speech/bernanke20120210a.pdf,,,,,,0,0,0.47,0.556321839,8.3,0.12,22
Bernanke,Fed Chairman,23,0.15767,10/18/11,1:15,The Effects of the Great Recession on Central Bank Doctrine and Practice ,http://www.federalreserve.gov/newsevents/speech/bernanke20111018a.pdf,,,,,,0,0,0.47,0.556321839,8.8,0.07,23
FMOC,,24,0.06884,4/9/14,2:00,Minutes,http://www.federalreserve.gov/newsevents/press/monetary/20140409a.htm,,,,,,0,0,0.45,0.537931034,6.7,0.08,24
FMOC,,25,0.16987,3/19/14,9:00,Statement,http://www.federalreserve.gov/newsevents/press/monetary/20140319a.htm,,,,,,0,0,0.45,0.537931034,6.7,0.08,25
FMOC,,26,0.100694,3/19/14,2:00,projection,http://www.federalreserve.gov/monetarypolicy/files/fomcprojtabl20140319.pdf,,,,,,0,0,0.45,0.537931034,6.7,0.08,26
FRB,,27,0.111413,2/25/14,2:00,Discount Rates,http://www.federalreserve.gov/newsevents/press/monetary/20140225a.htm,,,,,,0,0,0.45,0.537931034,6.7,0.07,27
FMOC,,28,0.177215,2/19/14,2:00,Minutes,http://www.federalreserve.gov/newsevents/press/monetary/20140129a.htm,,,,,,0,0,0.45,0.537931034,6.7,0.07,28
FRB,,29,0.1225,1/14/14,2:00,Discount Rates Minutes,http://www.federalreserve.gov/newsevents/press/monetary/20140114b.htm,,,,,,0,0,0.45,0.537931034,6.6,0.07,29
FMOC,,30,0.156626,12/18/13,9:00,statement,http://www.federalreserve.gov/newsevents/press/monetary/20131218a.htm,,,,,,0,0,0.45,0.537931034,6.7,0.09,30
FMOC,,31,0.13301,10/30/13,10:00,Statement,http://www.federalreserve.gov/newsevents/press/monetary/20131030a.htm,,,,,,0,0,0.45,0.537931034,7.2,0.08,31
FMOC,,32,0.15432,9/18/13,11:00,statement,http://www.federalreserve.gov/newsevents/press/monetary/20130918a.htm,,,,,,0,0,0.45,0.537931034,7.2,0.08,32
FMOC,,33,0.16923,7/31/13,12:00,statement,http://www.federalreserve.gov/newsevents/press/monetary/20130731a.htm,,,,,,0,0,0.45,0.537931034,7.3,0.09,33
FMOC,,34,0.147727,6/19/13,13:00,statement,http://www.federalreserve.gov/newsevents/press/monetary/20130619a.htm,,,,,,0,0,0.45,0.537931034,7.5,0.1,34
FMOC,,35,0.182539,5/1/13,14:00,statement,http://www.federalreserve.gov/newsevents/press/monetary/20130501a.htm,,,,,,0,0,0.45,0.537931034,7.5,0.14,35
FMOC,,36,0.161885,3/20/13,15:00,statement,http://www.federalreserve.gov/newsevents/press/monetary/20130320a.htm,,,,,,0,0,0.45,0.537931034,7.5,0.15,36
FMOC,,37,0.095238,1/20/13,16:00,statement,http://www.federalreserve.gov/newsevents/press/monetary/20130130a.htm,,,,,,0,0,0.45,0.537931034,7.9,0.14,37
Benanke,Fed Chairman,38,0.056818,2/26/13,10:00,monetary policy report,http://www.federalreserve.gov/newsevents/testimony/bernanke20130226a.pdf,,,,,,0,0,0.45,0.537931034,7.7,0.14,38
Bernanke,Fed Chairman,39,0.081589,7/17/13,8:30,monetary policy report,http://www.federalreserve.gov/newsevents/testimony/bernanke20130717a.pdf,,,,,,0,0,0.45,0.537931034,7.3,0.09,39
Bernanke,Fed Chairman,40,0.07465,2/29/12,10:00,monetary policy report,http://www.federalreserve.gov/newsevents/testimony/bernanke20120229a.pdf,,,,,,0,0,0.47,0.556321839,8.3,0.1,40
Benanke,Fed Chairman,41,0.073275,7/17/12,10:00,monetary policy report,http://www.federalreserve.gov/newsevents/testimony/bernanke20120717a1.pdf,,,,,,0,0,0.47,0.556321839,8.2,0.17,41
Bernanke,Fed Chairman,42,0.12034,1/3/14,2:30,"Looking Back, Looking Forward",http://www.federalreserve.gov/newsevents/speech/bernanke20140103a.pdf,,,,,,0,0,0.45,0.537931034,6.6,0.08,42
Yellen,Chair,43,0.015428,3/31/14,9:55,What the Federal Reserve Is Doing to Promote a Stronger Job Market ,http://www.federalreserve.gov/newsevents/speech/yellen20140331a.pdf,,,,,,0,0,0.45,0.537931034,6.7,0.06,43
Yellen,Chair,44,0.23697,3/5/14,2:30,Remarks on Swearing In,http://www.federalreserve.gov/newsevents/speech/yellen20140305a.pdf,,,,,,0,0,0.45,0.537931034,6.7,0.08,44
Yellen,Chair,45,0.194444,4/16/13,3:00,Monetary Policy Targets,http://www.federalreserve.gov/newsevents/speech/yellen20130416a.pdf,,,,,,0,0,0.45,0.537931034,7.5,0.15,45
Yellen,Chair,"46,47",0.09295,3/4/13,8:00,challenges confronting monetary policy,http://www.federalreserve.gov/newsevents/speech/yellen20130304a.pdf,,,,,,0,0,0.45,0.537931034,7.5,0.16,"46,47"
Yellen,Chair,50,0.02658,11/29/11,11:30,Aggregate Demand and the Global Economic Recovery,http://www.federalreserve.gov/newsevents/speech/yellen20111129a1.pdf,,,,,,0,0,0.47,0.556321839,8.6,0.08,50
Obama,President,51,0.13202,4/2/14,2:52,Minimum Wage,http://www.whitehouse.gov/the-press-office/2014/04/02/remarks-president-minimum-wage-ann-arbor-mi,x,,,,,0,1,0.45,0.537931034,6.7,0.09,51
Obama,President,52,0.13202,4/1/14,4:19,Affordable care act,http://www.whitehouse.gov/the-press-office/2014/04/02/remarks-president-minimum-wage-ann-arbor-mi,x,,,,,0,1,0.45,0.537931034,6.7,0.08,52
Obama,President,53,0.09657,3/20/14,3:00,Minimum Wage,http://www.whitehouse.gov/the-press-office/2014/03/20/remarks-president-minimum-wage,x,,,,,0,1,0.45,0.537931034,6.7,0.08,53
Obama,President,54,0.10241,3/20/14,11:05,on ukraine,http://www.whitehouse.gov/the-press-office/2014/03/20/statement-president-ukraine,,x,,,,0,1,0.45,0.537931034,6.7,0.08,54
